GEO.id2,total_households,total_households_no_internet
42013011001,1554,368
42013011002,1704,474
42013011100,2541,470
42013011200,2842,837
42013011300,2361,642
42013011400,1018,134
42013011500,2428,535
42013011600,1649,425
42013100200,971,210
42013100300,1329,328
42013100400,612,137
42013100500,1348,147
42013100600,1014,160
42013100700,940,244
42013100800,594,89
42013100900,1673,268
42013101100,651,124
42013101200,1841,334
42013101400,1452,377
42013101500,1452,380
42013101600,1358,502
42013101700,1522,389
42013101800,1201,291
42013101900,1016,567
42015950100,1552,327
42015950200,1956,408
42015950300,2559,535
42015950400,1326,331
42015950500,2693,512
42015950600,1544,298
42015950700,1808,370
42015950800,1513,329
42015950900,2224,529
42015951000,1304,334
42015951100,1156,219
42015951200,2119,485
42015951300,1547,382
42015951400,1550,472
42017100102,1322,159
42017100103,1107,102
42017100104,1771,367
42017100105,1187,145
42017100201,1593,136
42017100206,1904,146
42017100207,1718,364
42017100208,2624,663
42017100209,3636,444
42017100210,2668,475
42017100211,2903,388
42017100212,1401,175
42017100302,1690,258
42017100303,1643,342
42017100304,1064,227
42017100306,1334,293
42017100307,1942,224
42017100401,2385,302
42017100402,2340,379
42017100403,804,128
42017100404,2249,285
42017100406,1410,145
42017100407,425,51
42017100408,2134,192
42017100500,1031,141
42017100600,1483,371
42017100700,1246,342
42017100803,1632,193
42017100804,1219,130
42017100805,2062,361
42017100807,1713,254
42017100808,2001,124
42017100809,1938,49
42017100811,2010,183
42017100900,2705,149
42017101100,1079,167
42017101401,1544,155
42017101403,2138,148
42017101404,859,122
42017101405,2544,261
42017101503,1563,139
42017101504,1112,256
42017101505,1156,42
42017101506,2044,202
42017101603,1194,195
42017101605,1595,486
42017101607,1449,225
42017101609,1695,172
42017101610,1744,161
42017101611,2647,261
42017101802,1971,72
42017101803,3087,250
42017101805,750,45
42017101807,1517,48
42017101808,1089,157
42017101900,1539,68
42017102002,917,74
42017102003,1499,95
42017102004,1805,210
42017102102,1237,82
42017102104,2140,225
42017102300,2003,148
42017102401,1678,269
42017102402,1711,116
42017102500,1635,271
42017102600,992,273
42017102700,2247,446
42017102801,1252,111
42017103101,921,132
42017103102,779,136
42017103103,1909,491
42017103300,865,124
42017103400,2084,274
42017103700,1426,165
42017103800,552,122
42017103900,1809,240
42017104000,2677,165
42017104100,899,95
42017104201,1084,48
42017104203,1972,188
42017104204,1737,93
42017104301,1117,149
42017104303,1987,90
42017104304,503,25
42017104400,1164,133
42017104502,3000,228
42017104503,1467,93
42017104505,1902,37
42017104506,845,6
42017104601,1608,54
42017104603,1995,299
42017104604,2291,199
42017104701,1717,332
42017104702,1136,52
42017104703,918,69
42017104800,982,75
42017104901,2482,147
42017104902,2845,124
42017105003,1654,107
42017105004,1830,111
42017105006,1833,68
42017105008,1391,13
42017105009,1556,330
42017105010,1535,21
42017105011,1347,94
42017105012,930,53
42017105013,1899,110
42017105100,1057,10
42017105202,2202,141
42017105203,737,44
42017105206,1895,71
42017105207,1925,95
42017105208,728,18
42017105300,940,63
42017105400,2865,54
42017105505,1478,19
42017105506,1269,40
42017105507,2462,203
42017105508,1118,10
42017105509,1542,94
42017105510,2594,88
42017105511,1537,29
42017105600,1068,70
42017105702,1262,123
42017105704,2542,485
42017105801,2301,133
42017105805,2233,372
42017105807,1578,370
42017105808,1283,183
42017105809,1485,221
42017105810,807,244
42017105811,2097,270
42017105812,584,44
42017105900,735,144
42017106000,1636,184
42017106100,859,141
42017106200,3071,761
42017106300,2478,135
42017106401,2735,338
42017106402,2825,323
42017106500,2797,453
42017106600,810,90
42017980000,0,0
42019902100,1021,265
42019902200,878,241
42019902300,1274,357
42019902400,1191,324
42019902500,1617,422
42019902600,1215,231
42019902700,960,182
42019902800,1342,342
42019902900,802,133
42019903000,1937,352
42019903100,1218,153
42019910100,1726,368
42019910200,1939,422
42019910301,2086,247
42019910302,1792,221
42019910400,1089,98
42019910500,4,0
42019910600,1710,378
42019910700,1158,174
42019910800,1201,247
42019910900,2178,302
42019911000,2729,428
42019911100,1987,292
42019911200,2188,485
42019911300,2112,418
42019911400,1620,358
42019911501,2138,415
42019911502,1788,310
42019911600,2075,362
42019911700,1848,308
42019911800,2455,216
42019911900,2186,384
42019912001,1772,92
42019912002,2268,261
42019912101,1695,28
42019912102,1110,65
42019912200,1376,59
42019912301,2048,87
42019912303,1232,29
42019912304,1224,30
42019912401,3282,219
42019912402,2869,371
42019912700,3062,496
42019912800,2194,175
42021000100,894,558
42021000200,301,123
42021000300,707,124
42021000500,831,176
42021000600,800,262
42021000700,1414,306
42021001200,1451,335
42021010100,1723,407
42021010200,609,150
42021010300,970,247
42021010500,1730,474
42021010600,1103,152
42021010700,1243,193
42021010801,2321,410
42021011000,695,139
42021011100,2239,412
42021011200,939,120
42021011300,2096,307
42021011400,1779,534
42021011500,1738,363
42021011600,1157,350
42021011700,965,234
42021011800,1586,382
42021011900,1479,360
42021012000,2459,610
42021012100,950,248
42021012200,1465,318
42021012300,832,177
42021012400,1448,331
42021012500,2133,455
42021012600,1644,263
42021012700,1046,274
42021012800,1854,460
42021012900,1401,322
42021013000,1137,301
42021013100,956,212
42021013200,1593,424
42021013300,2238,522
42021013400,1143,388
42021013500,1062,353
42021013600,1500,656
42021013700,1523,462
42023960100,907,231
42023960200,1289,311
42025020102,1787,407
42025020103,1569,156
42025020105,2160,250
42025020106,764,199
42025020200,2770,740
42025020300,2453,512
42025020400,1764,508
42025020500,2826,507
42025020600,2219,753
42025020700,2134,464
42025020800,3385,659
42025020900,2147,388
42027010100,1654,429
42027010200,1176,298
42027010300,1472,513
42027010400,1435,281
42027010500,2107,419
42027010600,1491,238
42027010700,2165,309
42027010800,1886,675
42027010900,2993,526
42027011000,3298,467
42027011100,2714,523
42027011201,2398,455
42027011300,3513,135
42027011400,2574,93
42027011501,1370,66
42027011502,3214,280
42027011600,1397,47
42027011702,2316,182
42027011800,2196,105
42027011901,966,27
42027011902,2911,207
42027012000,1848,172
42027012100,18,0
42027012200,165,7
42027012300,909,11
42027012400,2211,133
42027012500,1617,148
42027012600,1397,52
42027012700,1565,120
42027012800,2729,323
42027981202,5,0
42029300101,1225,131
42029300103,1119,237
42029300104,1944,123
42029300106,2170,30
42029300107,1461,13
42029300108,2648,341
42029300109,1246,29
42029300201,1952,188
42029300202,1881,34
42029300301,1719,70
42029300302,1249,62
42029300303,1276,114
42029300400,1629,102
42029300501,1624,90
42029300502,1353,158
42029300600,1967,310
42029300700,2344,460
42029300800,2108,371
42029300900,941,121
42029301000,3030,267
42029301100,1490,321
42029301300,2436,194
42029301401,1262,247
42029301402,1950,147
42029301500,961,76
42029301600,1049,74
42029301700,631,29
42029301800,1719,86
42029301900,1493,30
42029302000,1858,69
42029302101,2387,155
42029302102,1468,51
42029302202,2800,94
42029302203,1848,64
42029302204,2181,43
42029302300,1413,237
42029302400,1803,355
42029302500,1922,179
42029302600,1738,288
42029302702,2028,212
42029302703,1471,91
42029302704,1805,76
42029302705,1526,172
42029302706,1848,159
42029302802,2061,200
42029302803,1182,143
42029302804,1643,271
42029302805,3385,148
42029302901,1768,54
42029302902,2059,59
42029303000,1192,28
42029303100,1437,103
42029303301,1120,143
42029303302,2018,121
42029303401,1347,340
42029303402,673,199
42029303501,1742,56
42029303502,1090,35
42029303801,1559,101
42029303802,2761,62
42029303901,1511,18
42029303902,2191,77
42029304000,2014,294
42029304101,1929,201
42029304102,1380,234
42029304201,2776,380
42029304300,2873,35
42029304403,1487,46
42029304404,2071,199
42029304405,1943,79
42029304406,1326,126
42029304501,2688,54
42029304502,1045,17
42029304600,1165,39
42029304900,2678,676
42029305000,714,129
42029305101,1711,265
42029305102,1628,267
42029305300,2885,494
42029305400,1421,429
42029305500,1319,476
42029305600,994,313
42029305700,769,202
42029306000,2688,210
42029306300,870,249
42029306501,1581,35
42029306503,821,194
42029306504,1515,201
42029306600,1098,25
42029306700,1584,149
42029306800,639,112
42029306900,1894,165
42029307000,2281,341
42029307100,847,105
42029307200,482,104
42029307300,1486,265
42029307400,1384,254
42029307700,909,293
42029307800,823,73
42029307900,988,233
42029308000,1969,830
42029308101,1405,158
42029308102,1388,307
42029308200,906,239
42029310400,0,0
42029311000,2259,203
42029311100,1388,63
42029311200,806,75
42029311300,1093,36
42029311401,2676,304
42029311403,1399,245
42029311404,1337,198
42029311500,1484,279
42029311600,777,146
42029311700,2990,506
42029311800,1318,371
42031160101,782,227
42031160102,2334,417
42031160200,1367,315
42031160300,1838,330
42031160400,1491,393
42031160500,1359,339
42031160600,1976,356
42031160700,1782,462
